x, y
401.40609052680253, 1725.698727434152
511.49035064758897, 1647.2085803798307
481.42495171025007, 1439.406312824647
561.5318521292389, 1555.210580563521
547.6832803785993, 1618.7468645079648
608.1222155776716, 1651.5113428784275
719.1220837480871, 1606.0413711463295
749.5924631689157, 1521.1588002979865
782.4575097964666, 1584.3159473829228
842.3946213529537, 1616.6395689400047
940.0125257210983, 1517.102917614883
1033.4221546303709, 1581.714892183976
1113.749153138213, 1512.5180067557224
1141.3318456332884, 1578.8757743058036
1291.8349187910655, 1500.0946617546508
1319.065454343976, 1429.892622791889
1430.5671461569766, 1459.8620689655172
1437.4870300705193, 1606.8437305466828
1491.0589048973736, 1598.6878794991376
1657.972491560041, 1531.5013011399005
1746.724844909181, 1559.3546346093008
1865.4457540365647, 1625.086385484381
1931.2814943743158, 1547.5396720106949
1954.8672055758184, 1541.9231562082232
2032.4473799347732, 1576.7772958741107
2161.495291391146, 1406.8005429070015
2214.0194993150594, 1398.6270575869212
2241.0299367791167, 1606.3058852343581
2307.842912631376, 1583.9808962047534
2391.0664019885253, 1655.4261513812492
2397.3083837884, 1605.2654631547794
2490.0489145075594, 1593.6092090089905
2555.7525959919985, 1584.1131532487677
2623.331513193467, 1487.4420712106212
2827.13353954792, 1354.5590105213744
2948.6364885184075, 1336.7924809421272
2977.0995733688956, 1528.7591717606717
3003.6345989610304, 1548.2891285934422
3002.939089000254, 1472.20605974018
3051.017315529334, 1356.2695349572919
3063.113906492703, 1497.3613495116897
3058.210121073055, 1541.9231562082232
3108.2956421724753, 1556.409711095917
3137.5334722957264, 1568.3745650110723
3232.9503957753395, 1576.451061832209
3301.8410975863726, 1545.3177536712553
2623.0761994103973, 1387.0060719862026
3146.61031748003, 1466.7747037993283
3290.501644048659, 1376.3197028298516
3337.8491449227463, 1488.985070057454
3334.2131244948923, 1475.1686175260993
3370.0715051308457, 1435.1388188711207
3484.249589704301, 1499.6361706687348
3552.550428637207, 1480.8821218275148
3581.7090234484713, 1499.0895082201425
3657.255491466423, 1575.3136512536864
